c_ClaveUnidad,short_description,long_description,Descripcion,Nota,Fecha de inicio de vigencia,Fecha de fin de vigencia,Simbolo,entry_status,create_date,create_by,update_date,update_by
1,18,Tambor de cincuenta y cinco galones (EUA),,"Las unidades marcadas como borradas en el catalogo internacional de UNECE, seran retenidas indefinidamente en las listas de codigos. En su caso, estas unidades podran ser reinstalado a traves del proceso de mantenimiento.",2023-01-01 00:00:00,2025-01-01 00:00:00,,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
2,19,Camion cisterna,,"Las unidades marcadas como borradas en el catalogo internacional de UNECE, seran retenidas indefinidamente en las listas de codigos. En su caso, estas unidades podran ser reinstalado a traves del proceso de mantenimiento.",2023-01-01 00:00:00,2025-01-01 00:00:00,,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
3,26,Tonelada real,,"Las unidades marcadas como borradas en el catalogo internacional de UNECE, seran retenidas indefinidamente en las listas de codigos. En su caso, estas unidades podran ser reinstalado a traves del proceso de mantenimiento.",2023-01-01 00:00:00,2025-01-01 00:00:00,,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4,29,Libra por mil pies cuadrados,,"Las unidades marcadas como borradas en el catalogo internacional de UNECE, seran retenidas indefinidamente en las listas de codigos. En su caso, estas unidades podran ser reinstalado a traves del proceso de mantenimiento.",2023-01-01 00:00:00,2025-01-01 00:00:00,Lb/kftÂ²,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
5,30,Dia de potencia de caballos por tonelada metrica de aire seco,,"Las unidades marcadas como borradas en el catalogo internacional de UNECE, seran retenidas indefinidamente en las listas de codigos. En su caso, estas unidades podran ser reinstalado a traves del proceso de mantenimiento.",2023-01-01 00:00:00,2025-01-01 00:00:00,,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
6,31,Pescar,,"Las unidades marcadas como borradas en el catalogo internacional de UNECE, seran retenidas indefinidamente en las listas de codigos. En su caso, estas unidades podran ser reinstalado a traves del proceso de mantenimiento.",2023-01-01 00:00:00,2025-01-01 00:00:00,,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
7,32,Kilogramo por tonelada metrica seca del aire,,"Las unidades marcadas como borradas en el catalogo internacional de UNECE, seran retenidas indefinidamente en las listas de codigos. En su caso, estas unidades podran ser reinstalado a traves del proceso de mantenimiento.",2023-01-01 00:00:00,2025-01-01 00:00:00,,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
8,36,Pie cÃºbico por minuto por pie cuadrado,Se requiere factor de conversion,"Las unidades marcadas como borradas en el catalogo internacional de UNECE, seran retenidas indefinidamente en las listas de codigos. En su caso, estas unidades podran ser reinstalado a traves del proceso de mantenimiento.",2023-01-01 00:00:00,2025-01-01 00:00:00,FtÂ³/(min/ftÂ²),0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
9,44,Bolsa a granel de quinientos kilos,,"Las unidades marcadas como borradas en el catalogo internacional de UNECE, seran retenidas indefinidamente en las listas de codigos. En su caso, estas unidades podran ser reinstalado a traves del proceso de mantenimiento.",2023-01-01 00:00:00,2025-01-01 00:00:00,,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
10,45,Bolsa a granel de trescientos kilos,,"Las unidades marcadas como borradas en el catalogo internacional de UNECE, seran retenidas indefinidamente en las listas de codigos. En su caso, estas unidades podran ser reinstalado a traves del proceso de mantenimiento.",2023-01-01 00:00:00,2025-01-01 00:00:00,,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
